id,name,box_art_url,igdb_id
19976,MapleStory,https://static-cdn.jtvnw.net/ttv-boxart/19976_IGDB-{width}x{height}.jpg,9804
1743359147,MARVEL SNAP,https://static-cdn.jtvnw.net/ttv-boxart/1743359147_IGDB-{width}x{height}.jpg,202279
134405,Yo-kai Watch,https://static-cdn.jtvnw.net/ttv-boxart/134405_IGDB-{width}x{height}.jpg,11197
1765783729,MOLE,https://static-cdn.jtvnw.net/ttv-boxart/1765783729_IGDB-{width}x{height}.jpg,378189
1599346425,Co-working & Studying,https://static-cdn.jtvnw.net/ttv-boxart/1599346425-{width}x{height}.jpg,
20596,Dofus,https://static-cdn.jtvnw.net/ttv-boxart/20596_IGDB-{width}x{height}.jpg,18337
19357,Guild Wars 2,https://static-cdn.jtvnw.net/ttv-boxart/19357_IGDB-{width}x{height}.jpg,1183
353213838,Wardens of Avalon,https://static-cdn.jtvnw.net/ttv-boxart/353213838_IGDB-{width}x{height}.jpg,405146
518184,Phasmophobia,https://static-cdn.jtvnw.net/ttv-boxart/518184_IGDB-{width}x{height}.jpg,132516
32502,World of Warships,https://static-cdn.jtvnw.net/ttv-boxart/32502_IGDB-{width}x{height}.jpg,5587
12924,Warcraft III,https://static-cdn.jtvnw.net/ttv-boxart/12924-{width}x{height}.jpg,
209738946,Wuthering Waves,https://static-cdn.jtvnw.net/ttv-boxart/209738946_IGDB-{width}x{height}.jpg,202956
1494,Call of Duty,https://static-cdn.jtvnw.net/ttv-boxart/1494_IGDB-{width}x{height}.jpg,621
490948,The Isle,https://static-cdn.jtvnw.net/ttv-boxart/490948_IGDB-{width}x{height}.jpg,25838
2005329090,Jinro Metropolis,https://static-cdn.jtvnw.net/ttv-boxart/2005329090_IGDB-{width}x{height}.jpg,325996
516588,Rise Online,https://static-cdn.jtvnw.net/ttv-boxart/516588_IGDB-{width}x{height}.jpg,133581
293693714,Resident Evil 2,https://static-cdn.jtvnw.net/ttv-boxart/293693714_IGDB-{width}x{height}.jpg,19686
1458157556,Hard Truck 2: King of the Road,https://static-cdn.jtvnw.net/ttv-boxart/1458157556-{width}x{height}.jpg,36987
510389,Shakes and Fidget,https://static-cdn.jtvnw.net/ttv-boxart/510389_IGDB-{width}x{height}.jpg,18090
31339,Project Zomboid,https://static-cdn.jtvnw.net/ttv-boxart/31339_IGDB-{width}x{height}.jpg,3189
510590,Hades,https://static-cdn.jtvnw.net/ttv-boxart/510590_IGDB-{width}x{height}.jpg,113112
19554,iRacing,https://static-cdn.jtvnw.net/ttv-boxart/19554_IGDB-{width}x{height}.jpg,8204
1887788993,Stronghold 4,https://static-cdn.jtvnw.net/ttv-boxart/1887788993_IGDB-{width}x{height}.jpg,405145
515024,Diablo IV,https://static-cdn.jtvnw.net/ttv-boxart/515024-{width}x{height}.jpg,125165
1938435210,God of War III: Remastered,https://static-cdn.jtvnw.net/ttv-boxart/1938435210_IGDB-{width}x{height}.jpg,19959
1428314242,Tanks Blitz,https://static-cdn.jtvnw.net/ttv-boxart/1428314242_IGDB-{width}x{height}.jpg,352188
490100,Lost Ark,https://static-cdn.jtvnw.net/ttv-boxart/490100-{width}x{height}.jpg,26128
1966055328,Fears to Fathom - Scratch Creek,https://static-cdn.jtvnw.net/ttv-boxart/1966055328_IGDB-{width}x{height}.jpg,348971
1433665303,Two Point Museum,https://static-cdn.jtvnw.net/ttv-boxart/1433665303_IGDB-{width}x{height}.jpg,313595
511295,Predecessor,https://static-cdn.jtvnw.net/ttv-boxart/511295_IGDB-{width}x{height}.jpg,115078
11557,The Legend of Zelda: Ocarina of Time,https://static-cdn.jtvnw.net/ttv-boxart/11557_IGDB-{width}x{height}.jpg,1029
262437666,Farming Simulator 25,https://static-cdn.jtvnw.net/ttv-boxart/262437666_IGDB-{width}x{height}.jpg,306822
65654,The Elder Scrolls Online,https://static-cdn.jtvnw.net/ttv-boxart/65654_IGDB-{width}x{height}.jpg,1081
2094865572,SMITE 2,https://static-cdn.jtvnw.net/ttv-boxart/2094865572-{width}x{height}.jpg,282566
