name,tipo,price,estimated_owners,peak_ccu,positive,negative,pct_pos_total,metacritic_score,watch_time_hours,peak_viewers,streamers,peak_channels
ARK: Survival Ascended,MMO,44.99,1000000 - 2000000,28394,42267,29390,59,0,16331215.0,236646.0,52737.0,392.0
Eternal Return,MMO,0.0,5000000 - 10000000,16357,50797,12927,79,0,7974218.0,20414.0,5231.0,111.0
DEVOUR,Multiplayer,9.99,2000000 - 5000000,646,74255,7310,91,0,1439768.0,43676.0,29689.0,244.0
Supermarket Simulator,Multiplayer,12.99,2000000 - 5000000,6928,60523,3896,93,0,2703200.0,61300.0,44346.0,247.0
Supermarket Together,Multiplayer,0.0,0 - 0,0,0,0,95,0,1335221.0,14831.0,58033.0,119.0
Green Hell,Multiplayer,24.99,2000000 - 5000000,3401,67533,10879,86,78,813356.0,18187.0,21887.0,90.0
FTL: Faster Than Light,Single Player,9.99,2000000 - 5000000,2249,70613,3360,95,84,1064075.0,12047.0,2893.0,17.0
Hades II,Single Player,29.99,2000000 - 5000000,7793,58314,3170,94,0,6413964.0,76496.0,25274.0,1142.0
A Way Out,Multiplayer,29.99,2000000 - 5000000,807,68454,9669,86,78,1707586.0,39776.0,41762.0,84.0
Content Warning,Multiplayer,7.99,5000000 - 10000000,2601,132136,6977,94,0,847296.0,29719.0,44897.0,86.0
The Outlast Trials,Multiplayer,39.99,2000000 - 5000000,1930,58997,4100,93,0,5095028.0,34304.0,130980.0,628.0
Overcooked! 2,Multiplayer,9.69,2000000 - 5000000,9961,63868,6594,90,81,930976.0,28372.0,36355.0,53.0
Party Animals,Multiplayer,19.99,2000000 - 5000000,4830,48137,13622,79,0,3964069.0,29234.0,37722.0,149.0
PowerWash Simulator,Multiplayer,24.99,1000000 - 2000000,3143,49246,1584,97,0,2039718.0,15952.0,42315.0,77.0
Golf With Your Friends,MMO,14.99,2000000 - 5000000,984,58366,7823,89,0,3538646.0,43230.0,39644.0,106.0
Chained Together,Multiplayer,4.99,2000000 - 5000000,1623,45995,4635,91,0,4026795.0,69298.0,50225.0,71.0
Pummel Party,Multiplayer,14.99,2000000 - 5000000,2124,47123,5931,89,0,3103366.0,60654.0,24311.0,84.0
Tabletop Simulator,Multiplayer,19.99,2000000 - 5000000,5583,65603,3893,96,0,749469.0,16571.0,8795.0,33.0
Stranded Deep,Multiplayer,19.99,1000000 - 2000000,350,33931,11580,75,0,897570.0,61579.0,12958.0,27.0
Liar's Bar,Multiplayer,6.99,2000000 - 5000000,2328,42178,3602,91,0,2810042.0,67591.0,37752.0,107.0
The Long Drive,Multiplayer,15.99,1000000 - 2000000,951,40379,4214,91,0,2159863.0,46346.0,7930.0,24.0
Core Keeper,Multiplayer,19.99,1000000 - 2000000,5368,48475,3722,92,85,2352999.0,23485.0,15087.0,69.0
SOMA,Single Player,29.99,2000000 - 5000000,145,42493,1794,95,84,969093.0,10485.0,7911.0,51.0
Foxhole,MMO,29.99,1000000 - 2000000,2678,35248,6955,83,0,2558551.0,12346.0,2675.0,43.0
Shakes and Fidget,MMO,0.0,1000000 - 2000000,2002,33757,2728,92,0,7579735.0,9320.0,892.0,23.0
Medieval Dynasty,Multiplayer,34.99,1000000 - 2000000,3820,40078,4041,90,73,1416650.0,5966.0,16178.0,77.0
Hero Siege,Multiplayer,7.99,2000000 - 5000000,529,29085,12965,69,0,1522909.0,6714.0,2133.0,85.0
Deadside,MMO,24.99,500000 - 1000000,1648,28383,8391,77,0,804923.0,22543.0,16127.0,175.0
Wreckfest,Multiplayer,29.99,1000000 - 2000000,364,33520,4544,87,81,736173.0,17987.0,15097.0,40.0
Stoneshard,Single Player,17.49,1000000 - 2000000,1661,21424,7624,73,0,1540887.0,8613.0,1545.0,29.0
Timberborn,Single Player,34.99,1000000 - 2000000,3789,28219,1362,95,0,754184.0,13705.0,3393.0,32.0
City Car Driving,Multiplayer,12.49,1000000 - 2000000,885,23683,5144,82,0,793473.0,79654.0,2278.0,13.0
Dwarf Fortress,Single Player,29.99,2000000 - 5000000,1510,26459,1395,95,93,892966.0,3684.0,1875.0,19.0
Palia,Multiplayer,0.0,0 - 0,0,0,0,84,0,13797566.0,20418.0,42101.0,534.0
Mouthwashing,Single Player,12.99,200000 - 500000,249,26244,966,96,0,1422870.0,52472.0,11756.0,58.0
Nine Sols,Single Player,29.99,500000 - 1000000,745,23607,1109,95,0,1487572.0,7715.0,14293.0,65.0
Battle Brothers,Single Player,29.99,500000 - 1000000,1192,20857,2755,88,80,1623013.0,5458.0,1196.0,22.0
"Warhammer 40,000: Rogue Trader",Multiplayer,49.99,2000000 - 5000000,4447,24177,4269,84,0,841191.0,4287.0,5014.0,51.0
Dinkum,Multiplayer,19.99,500000 - 1000000,1907,20499,1392,93,0,1419615.0,7859.0,7269.0,65.0
Darkwood,Single Player,14.99,1000000 - 2000000,115,19953,1069,95,80,756169.0,10921.0,4725.0,26.0
Foundation,Single Player,34.99,500000 - 1000000,4947,16071,2686,85,0,857683.0,14476.0,3399.0,79.0
Tiny Bunny,Single Player,10.39,500000 - 1000000,124,18555,666,96,0,1285656.0,94033.0,5746.0,575.0
The Texas Chain Saw Massacre,Multiplayer,19.99,200000 - 500000,359,14172,6392,71,0,2689907.0,17321.0,38622.0,174.0
Coral Island,Single Player,29.99,500000 - 1000000,2361,18357,2494,88,0,770092.0,3538.0,9229.0,78.0
Demonologist,Multiplayer,14.99,1000000 - 2000000,626,18190,2906,86,0,1972992.0,59461.0,28238.0,208.0
Fields of Mistria,Single Player,13.99,500000 - 1000000,2713,16967,362,97,0,1006108.0,3413.0,9546.0,151.0
Sky: Children of the Light,MMO,0.0,0 - 0,0,0,0,87,0,879869.0,2649.0,12472.0,76.0
Backrooms: Escape Together,Multiplayer,7.99,200000 - 500000,2929,15423,2329,87,0,1730084.0,62913.0,37387.0,89.0
PlateUp!,Multiplayer,19.99,1000000 - 2000000,2804,21378,1135,94,0,2289702.0,56336.0,25275.0,105.0
Pacific Drive,Single Player,20.99,500000 - 1000000,705,15470,2967,83,0,787250.0,6985.0,15456.0,106.0
60 Seconds! Reatomized,Single Player,9.99,1000000 - 2000000,167,15211,937,94,0,3109406.0,75417.0,8807.0,18.0
Escape Simulator,Multiplayer,11.99,1000000 - 2000000,846,15835,987,94,82,737113.0,57784.0,8506.0,28.0
